acc,prec,rec,fsc,s,t
0.421944,0.5,0.006247,0.01234,1.2,0.14
0.421944,0.5,0.006247,0.01234,1.25,0.14
0.421944,0.5,0.006247,0.01234,1.3,0.14
0.421944,0.5,0.006247,0.01234,1.35,0.14
0.421944,0.5,0.006247,0.01234,1.4,0.14
0.422222,0.518519,0.006728,0.013283,1.45,0.14
0.421667,0.478261,0.005286,0.010456,0,0.16
0.421667,0.478261,0.005286,0.010456,0.05,0.16
0.421944,0.5,0.005286,0.010461,0.1,0.16
0.421667,0.473684,0.004325,0.008571,0.15,0.16
0.421667,0.473684,0.004325,0.008571,0.2,0.16
0.421667,0.473684,0.004325,0.008571,0.25,0.16
0.421667,0.473684,0.004325,0.008571,0.3,0.16
0.421667,0.473684,0.004325,0.008571,0.35,0.16
0.421667,0.473684,0.004325,0.008571,0.4,0.16
0.421667,0.473684,0.004325,0.008571,0.45,0.16
0.421944,0.5,0.004805,0.009519,0.5,0.16
0.421944,0.5,0.004805,0.009519,0.55,0.16
0.421944,0.5,0.004805,0.009519,0.6,0.16
0.421944,0.5,0.004805,0.009519,0.65,0.16
0.421667,0.47619,0.004805,0.009515,0.7,0.16
0.421944,0.5,0.005286,0.010461,0.75,0.16
0.422222,0.521739,0.005766,0.011407,0.8,0.16
0.422222,0.521739,0.005766,0.011407,0.85,0.16
0.422222,0.521739,0.005766,0.011407,0.9,0.16
0.422222,0.52,0.006247,0.012346,0.95,0.16
0.421944,0.5,0.005766,0.011401,1,0.16
0.422222,0.521739,0.005766,0.011407,1.05,0.16
0.422222,0.521739,0.005766,0.011407,1.1,0.16
0.422222,0.521739,0.005766,0.011407,1.15,0.16
0.422222,0.521739,0.005766,0.011407,1.2,0.16
0.422222,0.521739,0.005766,0.011407,1.25,0.16
0.422222,0.521739,0.005766,0.011407,1.3,0.16
0.422778,0.565217,0.006247,0.012357,1.35,0.16
0.422778,0.565217,0.006247,0.012357,1.4,0.16
0.4225,0.545455,0.005766,0.011412,1.45,0.16
0.421944,0.5,0.004805,0.009519,0,0.18
0.421667,0.473684,0.004325,0.008571,0.05,0.18
0.421667,0.473684,0.004325,0.008571,0.1,0.18
0.421667,0.473684,0.004325,0.008571,0.15,0.18
0.421667,0.473684,0.004325,0.008571,0.2,0.18
0.421667,0.473684,0.004325,0.008571,0.25,0.18
0.421667,0.473684,0.004325,0.008571,0.3,0.18
0.421667,0.473684,0.004325,0.008571,0.35,0.18
0.421667,0.473684,0.004325,0.008571,0.4,0.18
0.421667,0.473684,0.004325,0.008571,0.45,0.18
0.421667,0.473684,0.004325,0.008571,0.5,0.18
0.421667,0.473684,0.004325,0.008571,0.55,0.18
0.421667,0.473684,0.004325,0.008571,0.6,0.18
0.421667,0.473684,0.004325,0.008571,0.65,0.18
0.422222,0.526316,0.004805,0.009524,0.7,0.18
0.422222,0.529412,0.004325,0.00858,0.75,0.18
0.4225,0.5625,0.004325,0.008584,0.8,0.18
0.422778,0.588235,0.004805,0.009533,0.85,0.18
0.422778,0.588235,0.004805,0.009533,0.9,0.18
0.4225,0.555556,0.004805,0.009528,0.95,0.18
0.4225,0.555556,0.004805,0.009528,1,0.18
0.422778,0.578947,0.005286,0.010476,1.05,0.18
0.4225,0.55,0.005286,0.010471,1.1,0.18
0.4225,0.55,0.005286,0.010471,1.15,0.18
0.422778,0.571429,0.005766,0.011418,1.2,0.18
0.422778,0.571429,0.005766,0.011418,1.25,0.18
0.422778,0.571429,0.005766,0.011418,1.3,0.18
0.422778,0.571429,0.005766,0.011418,1.35,0.18
0.423056,0.590909,0.006247,0.012363,1.4,0.18
0.422778,0.571429,0.005766,0.011418,1.45,0.18
0.421667,0.470588,0.003844,0.007626,0,0.2
0.421944,0.5,0.003844,0.00763,0.05,0.2
0.421944,0.5,0.003844,0.00763,0.1,0.2
0.421944,0.5,0.003844,0.00763,0.15,0.2
0.421944,0.5,0.003844,0.00763,0.2,0.2
0.421944,0.5,0.003844,0.00763,0.25,0.2
0.422222,0.533333,0.003844,0.007634,0.3,0.2
0.421944,0.5,0.003844,0.00763,0.35,0.2
0.421944,0.5,0.003844,0.00763,0.4,0.2
0.422222,0.533333,0.003844,0.007634,0.45,0.2
0.422222,0.533333,0.003844,0.007634,0.5,0.2
0.421944,0.5,0.003364,0.006683,0.55,0.2
0.421944,0.5,0.003364,0.006683,0.6,0.2
0.421944,0.5,0.003364,0.006683,0.65,0.2
0.421944,0.5,0.003364,0.006683,0.7,0.2
0.421944,0.5,0.003364,0.006683,0.75,0.2
0.421944,0.5,0.003364,0.006683,0.8,0.2
0.422222,0.533333,0.003844,0.007634,0.85,0.2
0.4225,0.5625,0.004325,0.008584,0.9,0.2
0.4225,0.5625,0.004325,0.008584,0.95,0.2
0.4225,0.5625,0.004325,0.008584,1,0.2
0.4225,0.5625,0.004325,0.008584,1.05,0.2
0.422222,0.529412,0.004325,0.00858,1.1,0.2
0.4225,0.555556,0.004805,0.009528,1.15,0.2
